Year,CO2,latitude,longitude
1960,88.1189,-25.274398,133.775136
1961,90.5039,-25.274398,133.775136
1962,94.8235,-25.274398,133.775136
1963,100.9343,-25.274398,133.775136
1964,108.8758,-25.274398,133.775136
1965,120.8527,-25.274398,133.775136
1966,120.2193,-25.274398,133.775136
1967,129.1442,-25.274398,133.775136
1968,134.4969,-25.274398,133.775136
1969,142.1238,-25.274398,133.775136
1970,147.4798,-25.274398,133.775136
1971,152.6295,-25.274398,133.775136
1972,157.3355,-25.274398,133.775136
1973,170.8274,-25.274398,133.775136
1974,172.1894,-25.274398,133.775136
1975,175.7139,-25.274398,133.775136
1976,174.0747,-25.274398,133.775136
1977,187.6049,-25.274398,133.775136
1978,201.8202,-25.274398,133.775136
1979,204.8696,-25.274398,133.775136
1980,220.531,-25.274398,133.775136
1981,230.1326,-25.274398,133.775136
1982,233.8886,-25.274398,133.775136
1983,224.785,-25.274398,133.775136
1984,236.3612,-25.274398,133.775136
1985,240.988,-25.274398,133.775136
1986,239.7222,-25.274398,133.775136
1987,255.8502,-25.274398,133.775136
1988,260.8788,-25.274398,133.775136
1989,277.4856,-25.274398,133.775136
1990,278.4244,-25.274398,133.775136
1991,279.8724,-25.274398,133.775136
1992,284.9121,-25.274398,133.775136
1993,289.2349,-25.274398,133.775136
1994,294.0146,-25.274398,133.775136
1995,305.4098,-25.274398,133.775136
1996,312.3612,-25.274398,133.775136
1997,320.7947,-25.274398,133.775136
1998,334.6841,-25.274398,133.775136
1999,344.0633,-25.274398,133.775136
2000,350.1946,-25.274398,133.775136
2001,357.6687,-25.274398,133.775136
2002,362.2091,-25.274398,133.775136
2003,369.7256,-25.274398,133.775136
2004,383.2047,-25.274398,133.775136
2005,386.5149,-25.274398,133.775136
2006,392.6819,-25.274398,133.775136
2007,400.4154,-25.274398,133.775136
2008,405.0485,-25.274398,133.775136
2009,408.3449,-25.274398,133.775136
2010,406.4259,-25.274398,133.775136
2011,404.2637,-25.274398,133.775136
2012,406.987,-25.274398,133.775136
2013,398.0516,-25.274398,133.775136
2014,393.2885,-25.274398,133.775136
2015,402.5376,-25.274398,133.775136
2016,413.1574,-25.274398,133.775136
