name,latitude,longitude
Australia,-25.274398,133.775136
Brazil,-14.235004,-51.92528
Canada,56.130366,-106.346771
China,35.86166,104.195397
France,46.227638,2.213749
Germany,51.165691,10.451526
India,20.593684,78.96288
Indonesia,-0.789275,113.921327
Iran,32.427908,53.688046
Italy,41.87194,12.56738
Japan,36.204824,138.252924
Mexico,23.634501,-102.552784
Poland,51.919438,19.145136
Russia,61.52401,105.318756
Saudi Arabia,23.885942,45.079162
South Africa,-30.559482,22.937506
South Korea,35.907757,127.766922
Turkey,38.963745,35.243322
United Kingdom,55.378051,-3.435973
United States,37.09024,-95.712891
