Year,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Iran,Italy,Japan,Mexico,Poland,Russia,Saudi Arabia,South Africa,South Korea,Turkey,United Kingdom,United States of America
1960,8.563790977,0.648849298,10.75590983,1.184424325,5.916461197,11.08865864,0.268256382,0.243587885,1.705334555,2.195381297,2.48201845,1.651702791,6.739837408,7.425169653,0.654432372,5.604876282,0.49485653,0.611471109,11.13837219,15.45874324
1961,8.624712646,0.66097295,10.59859003,0.824374935,6.054838587,11.29436882,0.284393367,0.288463551,1.624024904,2.482751061,2.990528476,1.656082009,6.904930467,7.560941507,0.845798133,5.698438127,0.553701651,0.616083573,11.15015823,15.17160786
1962,8.8688939,0.70039406,11.08765721,0.646345768,6.342482491,11.85818636,0.306617645,0.248221573,1.622284545,2.896855767,3.067964208,1.568126928,7.128454157,7.841865649,1.432554648,5.742432663,0.643546787,0.749304335,11.15133932,15.50954668
1963,9.264894707,0.704478212,11.09084514,0.629105702,6.994906022,12.59506532,0.322636937,0.239471206,1.744264407,3.232699523,3.37001371,1.580648143,7.516222028,8.318528517,1.536271317,5.805786273,0.765874971,0.766641159,11.26501241,15.97827358
1964,9.795204613,0.698134964,12.27210643,0.616741418,7.138798127,12.80555129,0.309012861,0.229155231,1.954867226,3.423850786,3.685475995,1.715043876,7.820647117,8.760859316,1.505358088,6.158047261,0.786482656,0.869685223,11.26825054,16.47032674
1965,10.6353375,0.674622189,12.78514468,0.656940864,7.192959839,12.59265783,0.333455042,0.245922622,2.152600315,3.66389473,3.925677484,1.684508522,7.876236366,9.215074556,0.870473035,6.425538615,0.864089905,0.883123546,11.45628042,16.95660246
1966,10.32505758,0.748057803,12.92015198,0.703964874,7.034912303,12.38783922,0.337861578,0.226792987,2.501628197,4.105884973,4.209494248,1.757069039,7.978786874,9.662144965,1.277580266,6.259501028,1.013439469,0.993324956,11.31362762,17.62186037
1967,10.80762854,0.749272886,13.80500486,0.568138797,7.480635208,12.10537308,0.331656421,0.231712278,2.579247627,4.460592376,4.853276397,1.897657326,8.120348481,10.0427411,4.90591569,6.355672113,1.160789084,1.030825556,10.77868001,18.10600678
1968,10.96583332,0.853289293,14.61403735,0.598210257,7.682485295,12.65337002,0.35304934,0.253282593,3.045527193,4.714597705,5.50244714,1.92021913,8.579622628,10.27123657,5.397530054,6.380075396,1.203582034,1.090480322,10.98821057,18.59480416
1969,11.30811665,0.905284814,14.55387441,0.71672598,8.198712756,13.44554664,0.351613285,0.298409549,2.990744386,5.067594033,6.311752226,2.026361255,9.057407199,10.64431896,6.298802479,6.442102282,1.345737643,1.137932318,11.33657936,19.35899707
1970,11.4833634,0.981156415,15.90366835,0.933775423,8.646576534,13.06058907,0.351763935,0.31167724,3.219030064,5.531389151,7.319117359,2.190101556,9.319387393,11.13996617,7.753309476,6.550866138,1.667727323,1.220865419,11.72963346,20.63809822
