Year,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Iran,Italy,Japan,Mexico,Poland,Russia,Saudi Arabia,South Africa,South Korea,Turkey,United Kingdom,United States of America
1960,15972,4404,14804,843,12170,15565,1002,1776,6003,10922,6273,5624,6253,8972,17842,7216,1691,3779,13512,18058
1961,15721,4644,14940,697,12698,16064,1009,1860,6326,11766,6965,5724,6665,9484,19508,7335,1719,3755,13843,18175
1962,16400,4807,15691,738,13271,16609,1009,1821,6264,12604,7516,5812,6498,10057,21326,7542,1717,3904,13856,18977
1963,17078,4695,16180,825,13757,16940,1037,1716,6754,13408,8071,6094,6813,10342,22622,7880,1814,4194,14300,19515
1964,17894,4713,16913,920,14509,17822,1093,1743,7032,13822,8919,6614,7045,10905,24009,8186,1916,4290,14954,20360
1965,18444,4686,17714,999,15078,18556,1026,1725,7664,14028,9338,6832,7366,11412,26238,8445,1981,4327,15241,21390
1966,18607,4855,18514,1006,15701,18964,1014,1690,8184,14663,10237,7085,7764,12138,29273,8577,2164,4751,15450,22529
1967,19500,4916,18738,987,16298,18982,1074,1619,8842,15607,11255,7301,7981,12825,31005,8922,2268,4882,15706,22842
1968,20255,5248,19416,939,16890,19927,1076,1740,9883,16810,12563,7658,8398,13547,32853,9061,2499,5123,16270,23692
1969,21005,5589,20148,1008,17908,21090,1124,1915,10849,17661,13965,7894,8250,13825,34396,9363,2813,5302,16492,24196
1970,21845,6005,20382,1115,18771,21896,1155,2074,11661,17942,15286,8184,8613,14909,36574,9598,2989,5466,16829,23958
1971,22328,6510,21247,1154,19486,22376,1140,2143,12741,18165,15800,8230,9156,15448,40660,9811,3217,5859,17101,24395
1972,22537,7099,22111,1142,20175,23192,1110,2331,14402,18573,16891,8639,9745,15801,45559,9750,3388,6126,17652,25415
1973,23398,7885,23405,1207,21097,24173,1135,2616,15205,19632,17993,9046,10386,16939,52962,9906,3895,6275,18795,26603
1974,23592,8313,24026,1211,21571,24368,1122,2685,16084,20393,17537,9289,10894,17438,59164,10201,4158,6653,18535,26287
1975,23928,8526,24214,1272,21316,24323,1194,2627,16375,19831,17851,9539,11297,18025,56547,10133,4360,7108,18517,25956
1976,24634,9171,25206,1211,22154,25623,1184,2793,18627,21019,18363,9681,11468,18447,58076,10124,4794,7593,18935,27059
1977,24612,9391,25747,1262,22888,26406,1247,2941,17822,21541,18984,9737,11573,18878,62673,9859,5205,7794,19355,28001
1978,25016,9619,26521,1392,23427,27181,1285,3004,15210,22273,19804,10348,11887,19098,61979,9904,5604,7893,20049,29287
1979,26016,10022,27350,1483,24075,28268,1192,3094,13409,23483,20714,11081,11559,19161,61611,10040,5922,7709,20580,29951
1980,26184,10687,27359,1539,24292,28512,1249,3283,11061,24276,21130,11823,11165,19704,63407,10416,5674,7543,20211,29613
1981,26636,9986,27861,1565,24413,28581,1300,3435,10279,24369,21644,12547,10475,19817,64386,10631,5933,7706,19924,30056
1982,26184,9829,26689,1697,24893,28361,1312,3239,11413,24466,22154,12193,10287,19807,61803,10257,6285,7930,20248,29211
1983,25870,9332,27191,1776,25080,28946,1388,3297,12414,24723,22514,11498,10694,20054,52116,9756,6905,8064,20951,30159
1984,27366,9636,28476,1949,25305,29863,1410,3451,12139,25328,23247,11643,10991,19986,49187,9932,7412,8371,21444,32076
1985,28413,10185,29738,2089,25549,30584,1436,3461,11967,26024,24126,11652,11011,20142,43405,9506,7820,8646,22139,33024
1986,28628,10729,30212,2193,26047,31249,1466,3600,10449,26762,24674,11054,11275,20497,38816,9281,8637,9100,23041,33851
1987,29602,10885,31034,2339,26581,31718,1497,3711,9976,27593,25574,11022,11054,20340,38884,9247,9538,9739,24059,34730
1988,30436,10662,32125,2429,27621,32645,1618,3854,9167,28658,27042,10946,11261,20537,38511,9405,10509,9965,25179,35865
1989,31240,10797,32320,2410,28460,33449,1690,4126,9260,29482,28235,11183,11056,20613,38399,9386,11070,9932,25654,36757
1990,31200,10161,31921,2379,29031,32178,1742,4414,9816,30117,29567,11549,9947,20020,43144,9096,12004,10696,25679,36982
1991,30426,10094,30846,2460,29158,33545,1736,4726,10852,30559,30462,11818,9218,18958,48065,8815,13116,10649,25314,36464
1992,31024,9876,30748,2631,29449,33931,1797,4949,11653,30793,30620,12017,9428,16178,48522,8459,13782,11139,25336,37241
1993,32020,10197,31204,2889,29113,33387,1865,5255,11150,30512,30582,12030,9762,14760,46544,8390,14577,11884,25909,37762
1994,33180,10625,32258,3107,29656,34089,1949,5557,10812,31162,30813,12348,10248,12887,45574,8519,15760,11100,26847,38808
1995,33908,10905,32779,3367,30135,34579,2053,5914,10849,32061,31577,11360,10950,12369,44507,8674,17095,11756,27447,39391
1996,34850,10979,32961,3590,30415,34761,2177,6269,11537,32464,32485,11766,11604,11940,44553,8937,18219,12432,28075,40414
1997,35853,11184,34029,3708,30987,35352,2229,6458,11766,33043,32756,12391,12346,12130,43957,9061,19118,13215,28879,41723
1998,37235,11057,35050,3747,31941,36047,2336,5523,11945,33567,32300,12824,12911,11512,44131,8986,17942,13468,29714,43073
1999,38311,10948,36564,3926,32872,36739,2443,5481,11985,34085,32158,13142,13512,12281,41402,9081,19830,12626,30587,44576
2000,39200,11263,38108,4202,33967,37776,2505,5664,12193,35333,32988,13821,14132,13563,42574,9340,21420,13339,31619,45887
2001,39673,11260,38376,4485,34434,38352,2604,5786,12546,35939,33044,13655,14312,14311,40882,9475,22218,12145,32356,45878
2002,40792,11448,39106,4850,34618,38288,2657,5962,13293,35975,33013,13628,14611,15054,38572,9690,23731,12901,32992,46267
2003,41544,11428,39441,5183,34707,37995,2834,6161,14225,35870,33456,13674,15142,16228,41641,9834,24301,13449,33977,47158
2004,42711,11937,40280,5627,35465,38448,3025,6383,14938,36202,34167,14084,15929,17458,43651,10137,25391,14432,34638,48493
2005,43501,12174,41177,6212,35817,38741,3226,6663,15374,36367,34730,14354,16493,18626,44800,10524,26331,15416,35424,49655
2006,44001,12515,41834,6890,36439,40220,3477,6940,16200,36985,35225,14894,17523,20184,44827,10970,27550,16244,36045,50490
2007,45145,13132,42282,7563,37068,41587,3740,7290,17200,37341,35805,15181,18766,21931,44493,11409,28908,16771,36679,50902
2008,45260,13660,42253,7930,36928,42117,3928,7739,17045,36705,35431,15182,19560,23091,46109,11619,29501,16693,36163,50276
2009,45247,13510,40541,8548,35642,39852,4198,8009,17479,34535,33549,14262,20096,21285,44061,11293,29557,15506,34338,48453
2010,45684,14392,41326,9555,36141,41576,4487,8425,18229,35010,34990,14820,20805,22239,45040,11535,31321,16700,34722,49267
2011,46132,14831,42197,10221,36691,43189,4768,8849,18024,35151,34979,15210,21837,23130,48470,11838,32225,17919,34971,49675
2012,46999,14985,42445,10680,36571,43320,4932,9285,16745,34068,35580,15639,22188,23931,49867,11992,32791,18170,35185,50394
2013,47250,15306,42994,11328,36632,43413,5172,9703,16248,33094,36354,15680,22510,24224,50005,12171,33588,18788,35618,50863
2014,47867,15258,43607,11944,36527,43922,5458,10090,16493,32829,36537,15856,23266,24387,50693,12242,34493,19277,36436,51664
2015,48357,15826,43619,12244,36827,44293,5794,10484,16253,33118,37031,16096,24177,23691,51681,12246,35269,19836,36941,52591
2016,48845,13873,43745,12569,37124,44689,6125,10911,16783,33419,37465,16133,24838,23635,51397,12139,36103,17906,37334,53015
